feature,importance
Summary_sentiment,0.6650019611329568
HelpfulnessRatio,0.1301538103456453
HelpfulnessDenominator,0.08751418407144793
Time,0.05089390174549429
Summary_word_count,0.019107478549305123
Text_length,0.015286449804471476
Summary_length,0.014518227276193393
Text_word_count,0.01340807824830584
HelpfulnessNumerator,0.004115908826179818
Text_sentiment,0.0
